artist_name,track_name,energy,danceability,loudness,acousticness,speechiness,liveness,valence,tempo,duration,top_hit
Lonnie Hunter,My Mind Is Made Up - Instrumental,0.39,0.619,-11.143,0.00155,0.0274,0.144,0.398,111.057,321.04,0
Q Da Halftime Show,Lookin' Like,0.529,0.831,-8.254,0.0758,0.297,0.172,0.753,77.022,163.34,0
Marianne Faithfull,Lola R. For Ever,0.565,0.789,-8.672,0.000101,0.0421,0.0853,0.946,125.875,185.25,0
Wagner Linan,Less Important,0.247,0.785,-19.9,0.761,0.0349,0.104,0.589,90.518,214.81,0
Pave,AND 1,0.723,0.65,-9.52,0.124,0.0927,0.293,0.24,116.088,150.09,0
Brymir,Risen,0.99,0.532,-5.904,0.000841,0.119,0.0649,0.0384,102.525,233.77,0
Native American Flute,Nature,0.0139,0.195,-32.229,0.891,0.063,0.111,0.034,168.567,80.46,0
iamamiwhoami,Kill,0.687,0.432,-8.237,0.00185,0.0371,0.309,0.238,164.925,385.19,0
Eternal,Stay,0.727,0.591,-8.058,0.00411,0.054,0.0289,0.846,98.528,237.53,0
Trilly Polk,Nobody to Call,0.638,0.749,-7.014,0.142,0.18,0.105,0.404,147.833,220.58,0
竹星合唱團,我們都是一家人,0.72,0.586,-6.495,0.121,0.0301,0.121,0.594,109.993,269.99,0
Pankaj Udhas,Zindagi Ne Maut Se Parda Kiya,0.347,0.436,-12.864,0.854,0.0301,0.0922,0.431,86.988,369.04,0
Johnny Rivers,Long Tall Sally,0.902,0.324,-5.282,0.49,0.0734,0.688,0.831,170.466,203.65,0
Zinks,I Know,0.977,0.31,0.738,0.0177,0.136,0.392,0.0424,159.282,114.0,0
Chente Corleone,"Bay 2 the Valley (feat. Lil Coner, Whiskey Loc, Pancho Lynie, Tito B & Lil Trueno)",0.599,0.866,-8.567,0.021,0.133,0.0528,0.715,144.026,266.67,0
Ocean Waves For Sleep,Relaxing Wave Loop,0.851,0.266,-26.821,0.609,0.0923,0.967,0.00599,71.459,149.83,0
The John Nature Collection,Gliding Pleasures,0.944,0.234,-18.399,0.347,0.0859,0.821,0.0208,79.68,134.25,0
Los Pescadores Del Rio Conchos,Moneda Sin Valor,0.929,0.672,-1.988,0.772,0.0519,0.285,0.824,112.977,245.96,0
George Wendt,Kids,0.511,0.821,-8.365,0.541,0.12,0.163,0.868,98.301,92.43,0
trenchbaby zayo,3gk Pt2,0.437,0.924,-12.399,0.0323,0.465,0.205,0.0624,125.02,128.03,0
Bharlie,Pissed Off,0.389,0.904,-11.162,0.308,0.638,0.179,0.48,98.477,166.82,0
Stream Jams,Eclipse,0.537,0.688,-6.881,0.00639,0.0404,0.172,0.138,133.017,144.36,0
Sunny Ozuna,El Creer Que Soy Yo,0.802,0.738,-2.986,0.618,0.0306,0.212,0.683,101.935,198.69,0
