artist_name,track_name,energy,danceability,loudness,acousticness,speechiness,liveness,valence,tempo,duration
"Majestic, Boney M.",Rasputin,0.839,0.83,-6.985,0.00201,0.0699,0.0353,0.59,128.012,345543
Marshmello,Leave Before You Love Me (with Jonas Brothers),0.738,0.721,-4.77,0.00226,0.0403,0.118,0.637,119.976,154983
Surf Curse,Freaks,0.941,0.345,-9.918,3.84e-05,0.0466,0.0511,0.407,179.626,147062
João Gomes,Meu Pedaço de Pecado,0.887,0.668,-4.404,0.369,0.0564,0.257,0.907,151.92,157176
"Rauw Alejandro, Mr. Naisgai",2/Catorce,0.455,0.54,-5.988,0.675,0.224,0.12,0.432,83.876,212032
Maroon 5,Beautiful Mistakes (feat. Megan Thee Stallion),0.676,0.713,-5.483,0.0377,0.027,0.154,0.721,99.048,227395
OneRepublic,Run,0.72,0.682,-8.173,0.326,0.0381,0.148,0.673,117.003,169011
Megan Thee Stallion,Thot Shit,0.693,0.95,-3.424,0.0133,0.0898,0.173,0.891,130.02,184635
"ATB, Topic, A7S",Your Love (9PM),0.784,0.669,-5.603,0.194,0.112,0.115,0.517,125.993,150053
Olivia Rodrigo,brutal,0.526,0.672,-6.446,0.0311,0.0599,0.28,0.28,123.999,143747
The Weeknd,Save Your Tears,0.825,0.65,-4.645,0.0215,0.0325,0.0936,0.593,118.091,191014
Giveon,Heartbreak Anniversary,0.465,0.449,-8.964,0.524,0.0791,0.303,0.543,89.087,198371
Dua Lipa,Don't Start Now,0.793,0.793,-4.521,0.0123,0.083,0.0951,0.679,123.95,183290
Trinidad Cardona,Dinero,0.782,0.708,-4.687,0.00772,0.0674,0.107,0.484,119.997,160880
The Neighbourhood,Sweater Weather,0.807,0.612,-2.81,0.0495,0.0336,0.101,0.398,124.053,240400
Maluma,Sobrio,0.77,0.762,-2.758,0.138,0.223,0.15,0.631,177.998,201181
Lewis Capaldi,Someone You Loved,0.405,0.501,-5.679,0.751,0.0319,0.105,0.446,109.891,182161
Smiley,Over The Top (feat. Drake),0.498,0.833,-5.196,0.0493,0.117,0.119,0.259,139.928,153406
Sleepy Hallow,2055,0.512,0.829,-5.865,0.492,0.187,0.12,0.638,80.511,123987
"KAROL G, Mariah Angeliq",EL MAKINON,0.706,0.635,-3.224,0.256,0.125,0.108,0.443,88.863,209160
"Justin Quiles, Chimbala, Zion & Lennox",Loco,0.899,0.77,-2.981,0.222,0.0494,0.0894,0.851,128.05,231604
Shouse,Love Tonight - Edit,0.681,0.727,-7.114,0.00214,0.0265,0.0861,0.448,123.028,241970
Måneskin,ZITTI E BUONI,0.939,0.625,-3.115,0.00138,0.0669,0.424,0.644,102.999,194787
Kali Uchis,telepatía,0.524,0.653,-9.016,0.112,0.0502,0.203,0.553,83.97,160191
