artist_name,track_name,energy,danceability,loudness,acousticness,speechiness,liveness,valence,tempo,duration
Joaquín Sabina,19 Dias y 500 Noches,0.67,0.708,-7.619,0.666,0.226,0.26,0.812,87.327,283.87
Vengaboys,Shalala Lala,0.901,0.751,-5.802,0.0504,0.0328,0.0395,0.973,124.017,214.82
Morcheeba,Rome Wasn't Built in a Day,0.807,0.61,-4.997,0.0769,0.0305,0.376,0.689,112.031,214.72
The Hives,Hate To Say I Told You So,0.929,0.451,-5.021,0.00109,0.0549,0.442,0.378,135.767,199.76
PJ Harvey,This Mess We're In,0.572,0.541,-9.634,0.0266,0.0277,0.0925,0.406,126.302,235.84
Gabrielle,Rise,0.481,0.558,-9.487,0.315,0.026,0.09,0.631,144.673,219.09
King Africa,La Bomba,0.92,0.895,-5.18,0.0852,0.187,0.16,0.891,99.998,199.11
Ricky Martin,She Bangs - English Version,0.95,0.63,-4.012,0.000915,0.0806,0.373,0.858,143.866,280.63
Ronan Keating,Life Is A Rollercoaster,0.791,0.655,-8.923,0.1,0.0302,0.334,0.862,118.981,234.83
Alejandro Sanz,Cuando nadie me ve,0.632,0.598,-5.989,0.353,0.0474,0.0809,0.508,136.017,308.56
D'Angelo,Untitled (How Does It Feel),0.304,0.838,-9.975,0.16,0.0626,0.0828,0.221,112.618,430.8
Various Artists,Can't Fight The Moonlight,0.835,0.628,-6.341,0.4,0.0496,0.051,0.627,97.856,215.51
Eros Ramazzotti,Fuego en el Fuego,0.856,0.796,-3.851,0.14,0.0286,0.0912,0.961,126.987,240.89
St Germain,Sure Thing,0.451,0.772,-12.242,0.501,0.0551,0.213,0.558,96.086,380.5
Queens of the Stone Age,The Lost Art Of Keeping A Secret,0.79,0.549,-4.781,0.0655,0.0343,0.691,0.43,110.79,216.01
Mystikal,Shake Ya Ass,0.607,0.914,-5.658,0.0626,0.32,0.0515,0.666,98.054,256.97
Bomfunk MC's,Freestyler,0.922,0.822,-5.798,0.0291,0.0989,0.252,0.568,163.826,306.33
Savage Garden,Crash and Burn,0.607,0.581,-8.458,0.189,0.028,0.0882,0.213,102.03,281.47
Enrique Iglesias,Be With You,0.871,0.69,-5.484,0.0359,0.0329,0.0347,0.561,121.984,220.16
Violadores Del Verso,Cantando,0.765,0.826,-6.077,0.132,0.435,0.0555,0.849,90.628,332.85
Moloko,The Time Is Now,0.743,0.682,-10.644,0.35,0.165,0.277,0.546,127.962,318.28
Robbie Williams,Rock DJ,0.762,0.712,-4.307,0.026,0.0326,0.0981,0.842,103.032,260.56
Henri Salvador,Jardin d'hiver,0.144,0.684,-17.419,0.534,0.0708,0.241,0.573,119.659,168.0
St Germain,Rose rouge,0.807,0.621,-8.963,0.07,0.0363,0.0737,0.557,118.028,416.57
La Fuga,P'aquí p'allá,0.839,0.39,-5.134,0.0425,0.0467,0.0965,0.301,155.125,223.87
Richard Ashcroft,A Song For The Lovers,0.923,0.389,-6.668,0.0397,0.0475,0.114,0.49,154.127,326.16
Sting,Desert Rose,0.654,0.577,-7.9,0.0143,0.0321,0.114,0.13,111.993,285.89
Ana Torroja,Corazones,0.776,0.538,-7.591,0.489,0.0318,0.661,0.667,92.022,232.84
Violadores Del Verso,Pura Droga Sin Cortar,0.753,0.812,-4.627,0.203,0.318,0.348,0.743,90.045,374.85
Toploader,Dancing in the Moonlight,0.856,0.632,-3.453,0.0568,0.0358,0.35,0.843,119.404,232.69
Mala Rodríguez,Tengo Un Trato - Remastered 2015,0.638,0.917,-5.483,0.018,0.132,0.0561,0.835,93.016,168.48
Platero Y Tu,Cigarrito,0.775,0.686,-6.238,0.00827,0.0276,0.476,0.828,110.039,236.41
Mikel Erentxun,Mañana,0.766,0.545,-6.373,0.29,0.0615,0.437,0.532,95.17,289.93
Alejandro Sanz,El alma al aire,0.859,0.5,-5.162,0.362,0.0788,0.459,0.714,78.625,356.76
St Germain,So Flute,0.888,0.766,-7.732,0.17,0.0362,0.277,0.732,122.015,507.61
Los Planetas,Un Buen Dia,0.922,0.386,-6.067,1.45e-05,0.0478,0.169,0.579,128.47,231.08
The Corrs,Radio,0.842,0.652,-6.706,0.00222,0.0309,0.0515,0.732,119.771,248.8
Andrés Calamaro,No se puede vivir del amor,0.806,0.694,-7.807,0.652,0.0347,0.619,0.961,118.576,261.25
Missy Elliott,Hot Boyz,0.445,0.727,-11.241,0.339,0.291,0.18,0.527,81.125,215.47
Los Suaves,Palabras Para Julia,0.908,0.445,-2.249,0.000185,0.0331,0.206,0.314,76.61,294.2
José El Francés,Ya No Quiero Tu Querer,0.896,0.682,-7.514,0.527,0.0897,0.0852,0.922,93.975,238.6
Joaquín Sabina,Y Sin Embargo - En Directo,0.686,0.628,-6.633,0.358,0.0376,0.864,0.474,84.446,362.91
Oasis,Go Let It Out,0.857,0.408,-5.71,0.0131,0.034,0.528,0.622,84.197,278.69
Shakira,Hips Don't Lie (feat. Wyclef Jean),0.824,0.778,-5.892,0.284,0.0707,0.405,0.758,100.024,218.09
Manu Chao,Me Gustas Tu,0.741,0.657,-6.822,0.663,0.0825,0.222,0.908,175.949,239.99
Estopa,Vino Tinto,0.938,0.597,-3.265,0.366,0.157,0.0327,0.808,184.752,198.56
Los Delinquentes,El aire de la calle,0.614,0.755,-9.841,0.526,0.0458,0.113,0.887,99.99,186.73
M-Clan,Carolina - En directo 2000,0.9,0.649,-4.135,0.146,0.0306,0.694,0.86,123.978,263.68
La Cabra Mecanica,La lista de la compra,0.899,0.629,-5.832,0.292,0.246,0.278,0.29,109.282,221.37
Nickelback,How You Remind Me,0.764,0.446,-5.042,0.00135,0.033,0.099,0.543,172.094,223.84
Loquillo Y Los Trogloditas,Feo Fuerte y Formal,0.879,0.716,-6.179,0.0454,0.0349,0.243,0.905,126.368,242.27
Manolo Garcia,Nunca el Tiempo Es Perdido,0.866,0.741,-5.652,0.0902,0.0545,0.0978,0.854,129.937,268.08
Café Quijano,Desde Brasil,0.879,0.631,-5.476,0.329,0.0324,0.0805,0.847,156.12,232.64
Alien Ant Farm,Smooth Criminal,0.964,0.653,-4.261,0.00316,0.0582,0.144,0.87,126.928,209.27
Incubus,Drive,0.792,0.645,-7.34,0.0562,0.036,0.119,0.666,90.565,232.45
Kylie Minogue,Can't Get You out of My Head,0.563,0.766,-7.516,0.0263,0.0339,0.115,0.964,126.007,230.64
The Calling,Wherever You Will Go,0.719,0.558,-5.113,0.0367,0.0267,0.115,0.371,112.027,208.6
Shaggy,Angel,0.766,0.74,-2.939,0.116,0.178,0.0406,0.807,170.531,235.13
Dido,Thank You,0.583,0.725,-9.942,0.3,0.0427,0.0665,0.762,79.984,218.36
Yann Tiersen,"Comptine d'un autre été, l'après-midi",0.192,0.483,-15.378,0.991,0.0469,0.106,0.0542,100.848,140.73
John Mayer,Your Body Is a Wonderland,0.729,0.647,-6.251,0.0206,0.0236,0.134,0.687,94.01,249.63
Nicky Jam,En La Cama (feat. Daddy Yankee),0.912,0.855,-4.832,0.183,0.145,0.122,0.885,104.072,157.02
Alex Gargolas,Donde Estan las Gatas,0.788,0.827,-11.937,0.246,0.0831,0.0764,0.815,109.933,170.0
Bacilos,Tabaco Y Chanel,0.576,0.643,-6.896,0.0267,0.0303,0.273,0.699,97.022,312.4
Travis,Sing,0.905,0.33,-5.047,0.000233,0.0497,0.0712,0.259,163.142,228.8
Gabrielle,Out Of Reach,0.48,0.51,-6.567,0.503,0.0452,0.106,0.496,182.862,196.99
Cristian Castro,Azul,0.858,0.653,-4.646,0.0235,0.0307,0.11,0.583,127.981,259.44
Miguel Bosé,Morena mía,0.676,0.712,-7.313,0.191,0.153,0.125,0.869,79.994,291.44
Diego Torres,Color Esperanza,0.876,0.619,-6.253,0.342,0.0538,0.0828,0.772,100.962,267.11
Alicia Keys,Fallin',0.609,0.652,-7.519,0.263,0.037,0.233,0.482,95.986,210.2
Gary Jules,Mad World,0.0585,0.344,-17.212,0.976,0.0373,0.103,0.323,174.149,189.51
Shakira,"Suerte (Whenever, Wherever)",0.845,0.768,-4.767,0.179,0.0337,0.209,0.891,108.977,194.11
Robbie Williams,Somethin' Stupid,0.515,0.654,-12.185,0.429,0.0261,0.174,0.677,106.191,170.49
The Strokes,Someday,0.521,0.539,-7.46,0.00425,0.0299,0.367,0.679,106.035,183.44
Jamiroquai,Little L,0.724,0.878,-5.373,0.168,0.129,0.133,0.904,121.906,295.4
Stereophonics,Have A Nice Day,0.826,0.508,-4.088,0.018,0.0405,0.28,0.404,120.854,205.07
Diana Krall,The Look Of Love,0.299,0.58,-13.03,0.699,0.0269,0.0805,0.364,93.037,282.0
Kylie Minogue,In Your Eyes,0.894,0.689,-6.342,0.133,0.0672,0.0681,0.709,123.971,197.83
The Strokes,Last Nite,0.899,0.624,-5.709,0.0221,0.0296,0.0975,0.79,104.061,193.37
Sin Bandera,Entra en Mi Vida,0.369,0.679,-7.979,0.551,0.03,0.106,0.314,138.011,248.2
Various Artists,Lady Marmalade - Single Edit,0.811,0.754,-3.679,0.0185,0.0561,0.654,0.639,109.902,267.96
Jorge Drexler,Me haces bien,0.607,0.404,-10.381,0.327,0.0451,0.155,0.576,149.604,184.55
Geri Halliwell,It's Raining Men,0.929,0.637,-6.03,0.063,0.0447,0.318,0.604,136.482,254.64
Aerosmith,Jaded,0.89,0.517,-4.033,0.005,0.0539,0.0824,0.632,118.009,214.33
Enrique Iglesias,Hero,0.651,0.581,-5.617,0.143,0.0392,0.107,0.146,151.959,264.6
R.E.M.,Imitation Of Life,0.751,0.46,-4.254,0.00628,0.0316,0.181,0.402,124.293,237.12
Smash Mouth,I'm A Believer - Radio Edit,0.972,0.559,-3.524,0.0198,0.0639,0.393,0.919,82.336,183.4
Paulina Rubio,Y Yo Sigo Aqui,0.953,0.774,-7.223,0.000958,0.0502,0.287,0.873,126.023,254.77
Rosana,Pa ti no estoy,0.635,0.728,-6.663,0.425,0.0518,0.244,0.745,141.943,251.13
Joaquín Sabina,19 Dias y 500 Noches - En Directo,0.899,0.572,-6.485,0.52,0.58,0.692,0.552,86.472,319.05
Shakira,Te Dejo Madrid,0.679,0.736,-5.062,0.0239,0.0386,0.265,0.936,131.032,186.84
Extrechinato y Tu,Rojitas,0.497,0.599,-11.172,0.105,0.0399,0.111,0.618,157.989,232.0
Rosario,Cómo Quieres Que Te Quiera,0.711,0.761,-7.398,0.343,0.0744,0.0723,0.657,126.006,267.72
Morodo,Babilonia,0.565,0.548,-8.995,0.647,0.264,0.113,0.737,80.372,248.6
Kaotiko,Otra Noche,0.932,0.552,-5.418,0.0234,0.0488,0.104,0.538,112.031,190.75
Alex Ubago,Sin miedo a nada (feat. Amaia Montero),0.574,0.573,-4.826,0.406,0.0468,0.125,0.339,132.836,310.87
Los Piratas,Años 80,0.9,0.467,-4.318,0.000642,0.0378,0.351,0.495,125.981,220.84
Antonio Orozco,Devuélveme La Vida,0.381,0.423,-9.782,0.544,0.0366,0.142,0.142,79.231,243.45
Joaquín Sabina,Nos Sobran los Motivos - En Directo,0.714,0.62,-5.87,0.348,0.417,0.731,0.702,82.826,344.84
Jarabe De Palo,Dos días en la vida,0.712,0.749,-7.958,0.133,0.041,0.426,0.477,110.053,381.17
Violadores Del Verso,Ninguna Chavala Tiene Dueño - Porque Ella Me Lo Dijo,0.627,0.791,-7.654,0.617,0.434,0.334,0.732,87.228,269.16
Café Quijano,La taberna del Buda,0.968,0.655,-4.93,0.203,0.045,0.0447,0.974,162.153,226.91
Damien Rice,The Blower's Daughter,0.2,0.342,-13.569,0.134,0.0324,0.341,0.0743,133.113,286.65
