artist_name,track_name,energy,danceability,loudness,acousticness,speechiness,liveness,valence,tempo,duration
Zzz.,How Does It Feel,0.437,0.757,-8.188,0.272,0.144,0.109,0.351,133.953,129.44
Icewear Vezzo,Pape Talk,0.571,0.921,-7.684,0.00593,0.295,0.166,0.619,134.027,129.02
Jamilah Barry,If The Love Goes - A COLORS SHOW,0.592,0.694,-12.229,0.117,0.135,0.325,0.448,105.88,223.96
BLK ODYSSY,Lay Low,0.605,0.482,-5.105,0.128,0.13,0.165,0.568,101.868,139.59
Emotional Oranges,Slide All Night,0.72,0.742,-6.557,0.0691,0.0483,0.0763,0.854,102.03,175.53
Ralph Castelli,Four Below,0.443,0.605,-11.748,0.421,0.0419,0.114,0.181,87.009,168.57
Felly,Mirror,0.403,0.617,-9.287,0.765,0.0271,0.0927,0.334,114.129,151.58
Jelly Roll,NEED A FAVOR,0.771,0.504,-4.231,0.0123,0.0319,0.078,0.555,157.985,197.4
Prince Royce,Otra Vez,0.768,0.743,-5.235,0.216,0.0291,0.13,0.878,126.984,221.36
Headie One,50s,0.672,0.705,-5.787,0.554,0.455,0.102,0.447,145.021,159.1
INNA,Yummy,0.678,0.618,-5.318,0.0795,0.178,0.186,0.536,199.962,172.8
Anabel Englund,Need Me Right,0.821,0.767,-4.245,0.0581,0.0386,0.126,0.259,121.996,144.6
Chiiild,You Get Me (A Final Word),0.393,0.508,-10.061,0.719,0.0366,0.0644,0.296,112.823,213.22
nyan,SERENITY,0.649,0.741,-7.517,0.0341,0.0545,0.488,0.691,164.036,292.68
Sam Ryder,Put A Light On Me,0.779,0.687,-4.066,0.295,0.0611,0.11,0.576,131.484,185.99
Will Linley,Last Call,0.768,0.649,-3.246,0.116,0.0336,0.087,0.929,115.005,174.18
Francis Karel,Seeing Other People,0.328,0.553,-10.026,0.79,0.0382,0.151,0.41,73.927,210.23
MOD SUN,SEXOXO (feat. Charlotte Sands),0.682,0.631,-5.67,0.103,0.0354,0.0854,0.448,90.011,158.86
The Arcs,Eyez,0.602,0.474,-7.525,0.0298,0.0491,0.115,0.29,168.012,220.53
Shy Glizzy,Slime-U-Out (feat. 21 Savage),0.912,0.735,-3.382,0.107,0.278,0.298,0.858,159.971,161.76
Kamaiyah,Know The Vibes,0.648,0.73,-12.534,0.0392,0.0391,0.113,0.764,90.002,170.67
River Tiber,In Between,0.694,0.185,-9.014,0.322,0.0608,0.113,0.173,187.669,256.99
Blessing Offor,Won't Be Long Now,0.641,0.503,-5.203,0.212,0.0364,0.121,0.35,71.998,195.54
Chase Matthew,Love You Again,0.823,0.564,-5.319,0.214,0.0297,0.432,0.472,132.113,173.64
Gabrielle Shonk,Aftertaste,0.754,0.654,-9.153,0.207,0.0784,0.374,0.734,86.99,244.62
Kathryn Gallagher,shapeshifter,0.295,0.571,-8.002,0.819,0.0289,0.126,0.232,75.102,276.8
White Reaper,Fog Machine,0.959,0.436,-3.662,2.4e-05,0.0645,0.0808,0.567,97.362,193.55
Skillet,Psycho In My Head,0.924,0.563,-4.004,0.000926,0.048,0.341,0.734,133.997,197.48
Cybertrash,with u,0.705,0.437,-5.936,0.0164,0.0662,0.852,0.503,105.901,149.43
Porsh Bet$,364,0.162,0.675,-13.658,0.825,0.0393,0.105,0.236,122.931,183.42
Lil Pump,She Know,0.43,0.772,-8.536,0.285,0.0725,0.1,0.433,133.944,157.61
ICECOLDBISHOP,THE GOV'T GAVE US GUNS,0.732,0.82,-4.664,0.845,0.274,0.223,0.693,152.058,116.8
HoneyLuv,Sway (feat. Dope Earth Alien),0.878,0.836,-8.714,0.00342,0.0472,0.0775,0.626,126.014,167.62
deadmau5,When I Talk,0.845,0.679,-6.548,0.207,0.0507,0.119,0.115,126.026,207.26
Ryan Wright,I Am in Love (With a Boy That Cheats),0.493,0.58,-8.245,0.0158,0.0305,0.0704,0.308,95.025,159.73
Nieve Ella,Glasshouses,0.357,0.423,-10.262,0.702,0.03,0.169,0.147,144.295,175.41
Ryan Destiny,How Many,0.412,0.666,-8.526,0.63,0.112,0.109,0.413,107.978,198.89
Rot Ken,Mask On,0.263,0.708,-10.003,0.00344,0.106,0.122,0.161,152.036,126.32
future.exboyfriend,Hazy,0.736,0.598,-5.831,0.084,0.0295,0.408,0.637,109.987,167.98
Joshua Roberts,"Stay, Stay, Stay!",0.778,0.613,-4.853,0.0116,0.0267,0.295,0.556,112.973,173.63
Myron Elkins,Wrong Side Of The River,0.832,0.604,-5.484,0.334,0.028,0.293,0.867,104.147,156.01
Hana Eid,Let Down,0.609,0.633,-12.534,0.0816,0.0366,0.108,0.435,127.015,207.15
Sabrina Song,Down,0.0702,0.4,-12.76,0.944,0.0441,0.145,0.183,165.425,180.98
