artist_name,track_name,energy,danceability,loudness,acousticness,speechiness,liveness,valence,tempo,duration,top_hit
Mercury Witch,First Crusade,0.542,0.702,-13.065,0.564,0.127,0.0636,0.718,170.014,135.53,0
The Pack a.d.,Hardtack Saloon #1,0.358,0.371,-22.106,0.989,0.0357,0.104,0.608,98.397,68.47,0
The Piedmont Boys,Hell Danielle,0.699,0.653,-5.406,0.158,0.0247,0.124,0.695,144.085,232.77,0
Eddi Reader,Please Don't Ask Me to Dance,0.0717,0.289,-16.433,0.861,0.032,0.0969,0.179,151.281,203.87,0
Jquintana el Imparable,El Imparable,0.585,0.647,-9.143,0.00217,0.236,0.0901,0.44,74.902,194.17,0
Futurecop!,Afterburner (feat. Renegade),0.961,0.499,-4.62,7.4e-06,0.0434,0.0638,0.32,120.011,272.0,0
Dickie Goodman,Luna Trip,0.782,0.496,-4.641,0.92,0.265,0.842,0.648,123.312,150.91,0
This Day Will Tell,We Left What's Left Of Us In A Cloud of Dust,0.956,0.27,-5.211,0.00151,0.217,0.23,0.237,155.166,217.01,0
Jarvis Cocker,I Just Came To Tell You That I'm Going,0.545,0.595,-6.4,0.000499,0.0241,0.12,0.712,77.023,218.01,0
Dogs Music Therapy,Friendly Pup Peace,0.0627,0.0749,-20.092,0.912,0.0428,0.111,0.0395,73.117,111.43,0
Londonbeat,If Jesus Sang The Blues,0.784,0.68,-8.722,0.293,0.137,0.249,0.699,105.855,218.87,0
Wave Sound Group,Mediterranean Shores,0.83,0.126,-26.445,0.885,0.152,0.371,0.00981,169.944,193.18,0
Baby Dayliner,Raid!,0.582,0.697,-10.562,0.674,0.0306,0.0859,0.775,115.971,268.28,0
Mighty Clouds Of Joy,Hold On,0.701,0.568,-3.75,0.0917,0.0324,0.0761,0.258,100.123,297.91,0
Beyoncé,Stop That!,0.59,0.873,-5.213,0.0836,0.221,0.0827,0.904,100.005,118.84,0
steezy elite,4 Worlds,0.49,0.842,-13.576,0.461,0.39,0.0566,0.763,124.006,178.73,0
Eddi Reader,Clear,0.366,0.623,-14.028,0.581,0.0364,0.0942,0.419,81.604,279.51,0
HYPE TOWN DJS,Never Knew,0.437,0.931,-18.377,0.146,0.554,0.0356,0.856,101.968,178.89,0
Dangling Chords,Spectrum Satisfaction,0.678,0.467,-9.899,1.36e-06,0.0295,0.462,0.748,135.033,76.49,0
Dalton Domino,Both Feet,0.39,0.609,-9.001,0.275,0.0283,0.131,0.0941,115.994,326.94,0
JUST BANG,Too Much Motion,0.53,0.758,-10.292,0.00423,0.27,0.261,0.429,99.052,134.16,0
Mother's Finest,Love Changes - Live,0.522,0.524,-13.309,0.344,0.0885,0.977,0.566,144.221,319.11,0
Rohmon,Attention,0.535,0.784,-9.189,0.329,0.379,0.0653,0.478,109.759,194.25,0
Greg Wicks,Counting Sneezes,0.0494,0.228,-23.755,0.921,0.0403,0.27,0.0795,85.348,161.18,0
2oona Beatz,As The Story Goes,0.713,0.54,-6.426,0.569,0.307,0.48,0.674,67.006,165.64,0
Carrie Newcomer,You Can Do This Hard Thing - Live,0.342,0.389,-9.909,0.837,0.0398,0.693,0.221,148.212,261.31,0
SK Luchiani,Kovid 19,0.627,0.646,-4.955,0.00168,0.287,0.249,0.235,133.595,243.96,0
Brett Vogel,Superwoman Sway,0.874,0.672,-5.11,0.0514,0.105,0.0461,0.781,95.99,181.93,0
