artist_name,track_name,energy,danceability,loudness,acousticness,speechiness,liveness,valence,tempo,duration,top_hit
Lightshow,Proper (feat. Kap G),0.478,0.8,-6.93,0.00631,0.148,0.338,0.151,119.952,205.9,0
ASMR Rain Sounds,Gorgeous Rain,9.06e-05,0.36,-21.917,0.198,0.116,0.731,0.0133,121.806,157.78,0
Jetpack Friends,Every Sinner's Future,0.88,0.481,-6.699,0.0145,0.0807,0.242,0.558,160.066,233.0,0
Eldest Son,Adriana,0.651,0.753,-8.007,0.32,0.0354,0.1,0.962,128.009,254.14,0
Acidizer,Primal Hunt,0.502,0.743,-10.285,0.0503,0.106,0.1,0.148,130.011,177.44,0
J-Eclectic,Altered,0.604,0.593,-14.057,0.0812,0.0413,0.106,0.325,109.892,104.73,0
Native American Flute,Eagle,0.0454,0.368,-31.055,0.956,0.0585,0.116,0.0691,101.484,91.98,0
DragonForce,Heroes of Our Time,0.987,0.138,-3.368,0.000101,0.153,0.372,0.298,199.983,433.92,0
V12,Plaques 2 Racks,0.625,0.816,-7.615,0.0313,0.285,0.0999,0.529,146.9,172.1,0
Destiny's Child,Survivor (feat. Da Brat) - Remix - Extended Version,0.902,0.589,-2.744,0.0171,0.346,0.393,0.768,161.445,264.76,0
Caden Beardall,Antidote (Outro),0.174,0.37,-17.136,0.868,0.0424,0.335,0.202,110.104,257.18,0
Dominic Lewis,Bear Market,0.264,0.767,-18.779,0.814,0.0633,0.104,0.3,101.476,90.5,0
Life In Your Way,My Devotion,0.885,0.303,-5.302,0.000797,0.0815,0.442,0.623,128.436,168.24,0
Dueto Teloloapan,El Corrido de Gildardo Vargas,0.486,0.801,-10.233,0.278,0.0334,0.0611,0.964,118.484,221.28,0
Manny Manuel,Espérame,0.853,0.699,-6.668,0.234,0.0523,0.114,0.742,99.946,260.32,0
Chente Corleone,Certified Weight (feat. Bukky),0.568,0.792,-8.838,0.215,0.357,0.129,0.544,157.101,192.6,0
Rich The Factor,"M.G. (feat. Mac Dre, Sky Balla & Rush)",0.573,0.614,-11.174,0.012,0.577,0.295,0.657,82.492,248.13,0
Swishahouse,Ghetto Platinum,0.806,0.742,-5.966,0.0217,0.255,0.19,0.622,72.101,279.65,0
The Dave Brubeck Quartet,Camptown Races - Remastered,0.285,0.66,-20.353,0.239,0.0425,0.109,0.833,137.126,128.44,0
Harsh Armadillo,Street Lovin,0.762,0.564,-6.4,0.0477,0.0816,0.0959,0.631,99.858,238.03,0
Kt Foreign,Intro,0.283,0.685,-17.284,0.526,0.919,0.444,0.789,63.805,30.88,0
Baby Dayliner,I'll Be Your Counterpart,0.653,0.634,-9.276,0.166,0.0255,0.109,0.699,107.004,240.24,0
Jr. Melancon and The Come Down Playboys,She Didn't Know I Was Married,0.66,0.651,-9.571,0.00964,0.0364,0.13,0.961,118.511,181.52,0
RAYLR,Safe One,0.424,0.549,-10.478,0.0192,0.0409,0.221,0.295,150.179,183.73,0
Daniel Eli,In Your Hands,0.678,0.583,-8.283,0.00559,0.0331,0.375,0.594,120.016,198.0,0
