artist_name,track_name,energy,danceability,loudness,acousticness,speechiness,liveness,valence,tempo,duration
Rosse,I Don't Cry (I Dance),0.929,0.718,-3.735,0.0227,0.102,0.274,0.638,129.908,152.25
AViVA,DANGEROUS,0.294,0.86,-7.08,0.221,0.282,0.0781,0.361,140.025,212.05
93FEETOFSMOKE,feel something at all,0.912,0.719,-4.513,0.00558,0.0627,0.207,0.675,138.051,148.7
the moss,Blink,0.676,0.558,-6.655,0.51,0.0376,0.143,0.279,118.11,265.41
Pony Bradshaw,Holler Rose,0.462,0.429,-9.49,0.144,0.0337,0.107,0.311,187.741,291.6
Grupo Marca Registrada,Así Nací,0.51,0.726,-9.766,0.514,0.0978,0.156,0.81,100.19,167.89
Sada Baby,SUKISADA,0.823,0.819,-5.576,0.00547,0.23,0.0912,0.525,103.995,221.54
PGF Nuk,Sko,0.507,0.663,-7.402,0.0429,0.386,0.085,0.414,153.738,150.59
MO3,They Don't Know,0.561,0.393,-9.224,0.249,0.414,0.137,0.402,76.119,168.02
Zeds Dead,Ecstasy Of Soul,0.898,0.379,-2.19,0.0238,0.219,0.374,0.129,150.223,238.4
Njomza,Clown,0.564,0.847,-4.968,0.0181,0.0338,0.0674,0.809,104.012,148.19
Lani Rose,Ultimate Self,0.295,0.479,-13.02,0.763,0.0276,0.114,0.207,144.071,225.0
PACKS,Abalone,0.611,0.555,-6.536,0.014,0.0283,0.108,0.502,119.074,126.52
Grady,Heart Attack,0.432,0.666,-9.764,0.691,0.108,0.121,0.87,151.018,174.0
elijah woods,the way that we started (taylor),0.518,0.627,-7.064,0.362,0.0567,0.109,0.512,82.006,204.88
KAZE,Promise,0.589,0.645,-6.999,0.124,0.112,0.158,0.417,154.985,175.88
Kordhell,MURDER PLOT,0.965,0.615,-2.288,0.000244,0.0903,0.11,0.721,140.106,126.86
Moore Kismet,Forte,0.954,0.603,-2.375,0.0166,0.32,0.269,0.295,139.983,230.79
Morray,Da Rant,0.687,0.529,-7.142,0.0242,0.28,0.129,0.222,82.283,242.8
Max Drazen,Not Because I Loved You,0.468,0.685,-9.854,0.321,0.153,0.109,0.573,133.991,179.1
Jack Gray,AdaLINE,0.619,0.718,-6.788,0.286,0.0836,0.0869,0.761,90.018,165.79
dyl dion,talk every night,0.5,0.705,-9.164,0.351,0.0277,0.237,0.68,105.016,130.35
Liily,Applause,0.873,0.601,-4.211,0.000349,0.0595,0.339,0.238,109.981,164.83
Softcult,Someone2Me,0.649,0.431,-7.792,0.0698,0.0297,0.179,0.349,73.559,226.47
Paul Spring,How to Love You,0.687,0.707,-8.066,0.197,0.0272,0.18,0.613,115.004,218.86
SILK,Quiver,0.785,0.899,-8.006,0.0973,0.133,0.305,0.119,131.024,181.46
Fast & Furious: The Fast Saga,Demon (featuring $NOT),0.95,0.438,-2.777,0.00787,0.0556,0.362,0.694,180.064,99.8
Tay Money,Blow It (feat. Kali),0.442,0.845,-6.655,0.0321,0.147,0.107,0.343,88.502,163.01
Bizzy Banks,2016,0.623,0.814,-6.497,0.457,0.5,0.213,0.531,144.022,162.28
angelus,sungazing,0.76,0.572,-5.469,0.0106,0.0345,0.337,0.504,82.947,190.33
Kid Smoko,Utah,0.702,0.698,-7.826,0.188,0.198,0.121,0.512,182.964,169.18
Trudy and the Romance,Love You Now,0.598,0.489,-6.455,0.181,0.0287,0.112,0.2,101.03,169.47
David J,I Wish I Was,0.407,0.393,-8.051,0.465,0.0292,0.0943,0.511,71.517,195.32
Natanael Cano,Morritas,0.611,0.675,-7.139,0.593,0.0261,0.117,0.532,95.074,216.33
OHGEESY,1st Day of School,0.628,0.879,-7.82,0.223,0.252,0.104,0.669,102.018,150.59
Meechy Darko,"Sliders [Feat. Flatbush Zombies, Col3trane]",0.678,0.803,-7.697,0.221,0.264,0.103,0.239,111.848,144.49
Halestorm,Alien,0.846,0.412,-3.806,0.00695,0.063,0.0966,0.369,188.026,167.79
young friend,little pieces,0.576,0.564,-9.626,0.217,0.131,0.674,0.677,79.896,157.5
chemical club,Bounds,0.713,0.531,-7.337,0.00118,0.0324,0.328,0.692,150.043,207.07
whiterosemoxie,whts rght,0.509,0.444,-9.56,0.345,0.0881,0.104,0.237,113.78,258.0
Mokita,High,0.57,0.669,-6.364,0.144,0.0558,0.266,0.299,75.029,166.83
Madeline Consoer,Runnin into a Heartbreak,0.768,0.577,-5.542,0.085,0.0625,0.129,0.924,152.031,205.72
